time,F_gravity,F_s,F_fric,F_gfl,F_gfr,F_grl,F_grr
33.342,-588.5999755859375,8122.68359375,1.2112689018249512,151.0102081298828,145.92820739746094,148.453125,143.20846557617188
33.442,-588.5999755859375,8122.0146484375,1.2975742816925049,147.8897247314453,145.34864807128906,148.9713592529297,146.3902587890625
33.542,-588.5999755859375,8121.30712890625,1.3852124214172363,146.9910888671875,147.89340209960938,146.40907287597656,147.3064422607422
33.642,-588.5999755859375,8120.6787109375,1.4708824157714844,146.7010955810547,148.20034790039062,146.1064453125,147.5921173095703
33.742,-588.5999755859375,8120.32080078125,1.5571649074554443,147.6028289794922,146.43109130859375,147.8731231689453,146.69296264648438
33.842,-588.5999755859375,8120.44384765625,1.642991065979004,150.0082244873047,147.63401794433594,146.68344116210938,144.27432250976562
33.942,-588.5999755859375,8121.3154296875,1.729201316833496,147.68299865722656,147.0702667236328,147.2308807373047,146.6158447265625
34.042,-588.5999755859375,8122.771484375,1.8154150247573853,148.51248168945312,145.9882049560547,148.33152770996094,145.7677764892578
34.142,-588.5999755859375,8124.7333984375,1.9026830196380615,147.6606903076172,145.9884033203125,148.32020568847656,146.6306915283203
34.242,-588.5999755859375,8126.90771484375,1.9917914867401123,147.03233337402344,147.7489471435547,146.5526123046875,147.26611328125
34.342,-588.5999755859375,8129.171875,2.0788121223449707,148.40069580078125,145.43898010253906,148.88827514648438,145.87205505371094
34.442,-588.5999755859375,8131.40185546875,2.159409999847412,148.8388671875,147.4637908935547,146.84202575683594,145.455322265625
34.542,-588.5999755859375,8133.54638671875,2.2333858013153076,148.36781311035156,147.283935546875,147.01966857910156,145.9285888671875
34.642,-588.5999755859375,8135.67431640625,2.300117015838623,148.5198974609375,145.43873596191406,148.89077758789062,145.75057983398438
34.742,-588.5999755859375,8137.7021484375,2.3595316410064697,148.078125,144.7037353515625,149.63172912597656,146.1864013671875
34.842,-588.5999755859375,8139.71728515625,2.4118311405181885,148.67758178710938,146.23922729492188,148.07919311523438,145.60400390625
34.942,-588.5999755859375,8141.74560546875,2.4591267108917236,147.9615020751953,145.64739990234375,148.66917419433594,146.32192993164062
35.042,-588.5999755859375,8143.79736328125,2.5013327598571777,149.12684631347656,144.9918975830078,149.3616180419922,145.11964416503906
35.142,-588.5999755859375,8145.8837890625,2.539616107940674,147.8151092529297,146.8829345703125,147.41973876953125,146.4822235107422
35.242,-588.5999755859375,8147.78173828125,2.574300765991211,148.7681884765625,144.98709106445312,149.3575439453125,145.48716735839844
35.342,-588.5999755859375,8149.455078125,2.6059329509735107,151.0627899169922,147.09400939941406,147.25523376464844,143.18795776367188
35.442,-588.5999755859375,8150.951171875,2.6338613033294678,148.23243713378906,146.53590393066406,147.77296447753906,146.05870056152344
35.542,-588.5999755859375,8152.25244140625,2.6589109897613525,147.032958984375,145.7708282470703,148.5340576171875,147.26214599609375
35.642,-588.5999755859375,8153.38818359375,2.680926561355591,147.12242126464844,145.30577087402344,149.00439453125,147.16738891601562
35.742,-588.5999755859375,8154.52783203125,2.6992921829223633,147.10711669921875,145.9542236328125,148.349853515625,147.1887969970703
35.842,-588.5999755859375,8155.76123046875,2.714970350265503,149.1602783203125,145.23526000976562,149.11288452148438,145.09156799316406
35.942,-588.5999755859375,8157.20166015625,2.728166103363037,149.1524658203125,145.1856689453125,149.1635284423828,145.09832763671875
36.042,-588.5999755859375,8158.9453125,2.739626884460449,148.6463623046875,146.57188415527344,147.7414093017578,145.6403350830078
36.142,-588.5999755859375,8160.775390625,2.7492575645446777,147.2000274658203,145.75181579589844,148.5546417236328,147.09352111816406
36.242,-588.5999755859375,8162.62060546875,2.756958484649658,147.53265380859375,149.6903076171875,144.6237030029297,146.75332641601562
36.342,-588.5999755859375,8164.37890625,2.76261568069458,145.63607788085938,146.7691650390625,147.5347137451172,148.6600341796875
36.442,-588.5999755859375,8166.09375,2.7661726474761963,147.16456604003906,147.35545349121094,146.9446563720703,147.1353302001953
36.542,-588.5999755859375,8167.78173828125,2.767521619796753,147.11016845703125,146.6863555908203,147.61419677734375,147.1892852783203
36.642,-588.5999755859375,8169.46728515625,2.7668187618255615,147.65545654296875,147.70529174804688,146.59471130371094,146.64453125
36.742,-588.5999755859375,8171.3759765625,2.764089822769165,145.76849365234375,146.68063354492188,147.62188720703125,148.52899169921875
36.842,-588.5999755859375,8173.623046875,2.7592899799346924,148.91758728027344,146.39898681640625,147.920654296875,145.36276245117188
36.942,-588.5999755859375,8176.30029296875,2.7594234943389893,147.02322387695312,147.14431762695312,147.1557159423828,147.2767333984375
37.042,-588.5999755859375,8179.25048828125,2.759597063064575,147.20960998535156,147.12722778320312,147.17279052734375,147.0903778076172
37.142,-588.5999755859375,8182.44580078125,2.7597455978393555,147.97511291503906,145.94410705566406,148.36862182617188,146.3121337890625
37.242,-588.5999755859375,8185.94384765625,2.7598583698272705,146.80526733398438,147.12969970703125,147.17062377929688,147.49441528320312
37.342,-588.5999755859375,8189.59033203125,2.764420509338379,145.1400604248047,150.3942413330078,143.98736572265625,149.0783233642578
37.442,-588.5999755859375,8193.333984375,2.767087697982788,143.447998046875,148.8313446044922,145.5542755126953,150.76638793945312
37.542,-588.5999755859375,8197.14453125,2.7676126956939697,145.868896484375,148.39720153808594,145.92201232910156,148.4119110107422
37.642,-588.5999755859375,8201.029296875,2.766258478164673,146.58734130859375,148.7162628173828,145.59738159179688,147.69900512695312
37.742,-588.5999755859375,8205.033203125,2.762988328933716,146.92068481445312,149.0447540283203,145.2688446044922,147.36572265625
